source,title,description,publishedAt,url,sentiment_title,sentiment_desc,sentiment_avg,stance,bert_sentiment_title,bert_sentiment_desc,bert_sentiment_combined,ML_Predicted_Stance
abc-news,Trump tariffs make Easter bittersweet for Swiss chocolatiers,"At the Festichoc chocolate festival in Geneva over the weekend, Trump administration tariffs announced last week did little to sour the mood on Switzerland’s most famous sweets",2025-04-07T14:46:31Z,https://abcnews.go.com/Business/wireStory/trump-tariffs-make-easter-bittersweet-swiss-chocolatiers-120560519,-0.0772,0.7703,0.34654999999999997,Pro/Supportive,label_1,label_1,label_1,Neutral
abc-news,"Who is Kilmar Abrego Garcia, the man the US must retrieve from an El Salvador prison?",Kilmar Abrego Garcia’s story appeared as if it would begin and end in his native El Salvador,2025-04-11T01:58:29Z,https://abcnews.go.com/Politics/wireStory/kilmar-abrego-garcia-man-us-retrieve-el-salvador-120701925,-0.5106,0.0,-0.2553,Critical/Opposing,label_1,label_1,label_1,Neutral
abc-news,Miami’s ‘Little Venezuela’ fears Trump's moves against migration,"On Feb. 3, the Trump administration ended two federal programs that together allowed more 700,000 Venezuelans to live and work legally in the U.S. It’s all anyone discusses in Doral, Florida, the largest Venezuelan community in the United States",2025-04-07T05:34:28Z,https://abcnews.go.com/Politics/wireStory/miamis-venezuela-fears-trumps-moves-migration-120550402,-0.4215,0.4939,0.03620000000000001,Neutral,label_1,label_1,label_1,Neutral
abc-news,Italy's Meloni will test her mettle as EU-US bridge when she meets Trump in Washington,Italian Premier Giorgia Meloni will test her mettle as an EU facilitator when she meets with Donald Trump in the White House,2025-04-17T04:22:26Z,https://abcnews.go.com/Business/wireStory/italys-meloni-test-mettle-eu-us-bridge-meets-120894973,0.0,0.0,0.0,Neutral,label_1,label_1,label_1,Neutral
abc-news,FAA finds safety concerns at Las Vegas airport in review spurred by midair collision in Washington,A federal review of helicopter safety around some of the busiest U.S. airports has revealed dangerous flying conditions at the Las Vegas airport,2025-04-23T02:22:27Z,https://abcnews.go.com/Business/wireStory/faa-finds-safety-concerns-las-vegas-airport-review-121066574,0.0772,-0.0772,0.0,Neutral,label_0,label_0,label_0,Neutral
abc-news-au,Easter feasting sorted with these 10 easy recipes,"Whether you're entertaining this Easter or preparing a special meal or dessert for yourself, we have plenty of delicious options.",2025-04-12T02:00:00Z,https://www.abc.net.au/news/2025-04-12/easy-easter-recipes-brunch-dinner-baking/105092482,0.4404,0.8519,0.64615,Pro/Supportive,label_2,label_2,label_2,Neutral
abc-news-au,"Hospital food for patients standardised across NSW, including cake","A statewide menu is rolling out in public hospitals across New South Wales. It means every hospital will provide patients with the same selection of meals for breakfast, lunch and dinner.",2025-04-04T21:25:26Z,https://www.abc.net.au/news/2025-04-05/standardised-menu-for-hospital-food-across-nsw/105065580,0.0,0.0,0.0,Neutral,label_1,label_1,label_1,Neutral
abc-news-au,'Common confusion': The difference between thrush and bacterial vaginosis,"Both thrush and bacterial vaginosis (BV) are common and easily treatable, but because there is less awareness around BV, people may be reaching for the wrong treatment option.",2025-04-30T05:28:59Z,https://www.abc.net.au/news/2025-04-30/difference-between-thrush-and-bacterial-vaginosis/105174702,-0.296,-0.3071,-0.30155,Critical/Opposing,label_1,label_0,mixed,Critical/Opposing
abc-news-au,South Australia's History Festival launches with nearly 600 events,"With a hub based at heritage-listed Ayers House, South Australia's History Festival begins today and runs for the month of May.",2025-04-30T21:47:11Z,https://www.abc.net.au/news/2025-05-01/south-australias-history-festival-launches-nearly-600-events/105234136,0.4939,0.4939,0.4939,Pro/Supportive,label_1,label_1,label_1,Neutral
abc-news-au,Freezer-friendly meals to help you get ahead,"Stock your freezer with these hearty meals that taste just as good on the reheat. Think soup, stews and bolognese, with plenty of vegetarian options.",2025-05-04T00:00:00Z,https://www.abc.net.au/news/2025-05-04/freezer-friendly-dinners-for-meal-prep/105161486,0.4019,0.4404,0.42115,Pro/Supportive,label_2,label_2,label_2,Neutral
al-jazeera-english,Trump’s tariffs: How much of a typical US household is made in America?,"How much of each room relies on imports, and what would it look like without those foreign-made products?",2025-04-30T07:32:33Z,https://www.aljazeera.com/news/longform/2025/4/30/trumps-tariffs-how-much-of-a-typical-us-household-is-made-in-america,0.0,0.3612,0.1806,Neutral,label_1,label_1,label_1,Neutral
bbc-sport,BBC OS Conversations: The impact of Trump's tariffs,"Donald Trump’s decision to slap tariffs on global trade has sent the world reeling. Stock markets have tanked. Gloomy economists have hit the airwaves. Governments, their backs against the wall, have responded with either stoic resignation or threats of reven…",2025-04-12T00:30:00Z,https://www.bbc.co.uk/programmes/p0l3xwg0,0.0,-0.6369,-0.31845,Critical/Opposing,label_1,label_0,mixed,Critical/Opposing
bbc-sport,Two years of civil war in Sudan: how can the fighting end?,"The civil war in Sudan, which broke out two years ago, has been described by aid agencies as the ""worst humanitarian crisis in the world."" Today, at a conference in London, delegations from European countries, the African Union, the United Arab Emirates and E…",2025-04-15T14:38:00Z,https://www.bbc.co.uk/programmes/w172zss0jz22345,-0.7506,-0.9201,-0.83535,Critical/Opposing,label_0,label_0,label_0,Critical/Opposing
bbc-sport,UK bans EU cheese and meat imports to prevent disease spreading,People coming into Great Britain can no longer bring cured meats or cheese from the EU following an outbreak of foot-and-mouth disease.,2025-04-16T18:15:26Z,https://www.bbc.co.uk/news/articles/cx2vpp8zzd7o,0.0258,0.4404,0.2331,Neutral,label_0,label_0,label_0,Neutral
bbc-sport,UK ban on EU cheese and meat: What it means for you,The temporary measure by the government is aimed at stopping the spread of foot and mouth disease.,2025-04-17T12:47:09Z,https://www.bbc.co.uk/news/articles/c0qn7jzj3qgo,-0.5574,-0.1531,-0.35525,Critical/Opposing,label_1,label_1,label_1,Neutral
bbc-sport,King and Queen's new wedding anniversary photos in Italy,"Lord Llewellyn, Britain's ambassador to Italy, said the trip ""comes at a key moment"" as the UK government tries to reset EU relations after Brexit.",2025-04-07T15:34:18Z,https://www.bbc.co.uk/news/articles/c70ze48nel8o,0.0,0.0,0.0,Neutral,label_1,label_1,label_1,Neutral
